Latitude,Longitude,ZIPCode
40.75,-74,10001
40.72,-73.99,10002
40.73,-73.99,10003
40.7,-74.01,10004
40.71,-74.01,10005
40.71,-74.01,10006
40.71,-74.01,10007
40.71,-74.01,10008
40.73,-73.98,10009
40.74,-73.98,10010
40.74,-74,10011
40.73,-74,10012
40.72,-74,10013
40.73,-74.01,10014
40.75,-73.98,10016
40.75,-73.97,10017
40.76,-73.99,10018
40.77,-73.99,10019
40.76,-73.98,10020
40.77,-73.96,10021
40.76,-73.97,10022
40.78,-73.98,10023
40.79,-73.98,10024
40.8,-73.97,10025
40.8,-73.95,10026
40.81,-73.95,10027
40.78,-73.95,10028
40.79,-73.94,10029
40.82,-73.94,10030
40.82,-73.95,10031
40.84,-73.94,10032
40.85,-73.94,10033
40.87,-73.92,10034
40.8,-73.94,10035
40.76,-73.99,10036
40.81,-73.94,10037
40.71,-74,10038
40.83,-73.94,10039
40.86,-73.93,10040
40.71,-74.01,10041
40.76,-73.97,10043
40.76,-73.95,10044
40.69,-74.01,10045
40.76,-73.97,10055
40.75,-74,10060
40.7,-73.98,10080
40.71,-74.01,10081
40.75,-73.98,10087
40.76,-73.99,10090
40.77,-73.99,10101
40.76,-73.98,10102
40.76,-73.98,10103
40.76,-73.98,10104
40.76,-73.98,10105
40.76,-73.98,10106
40.77,-73.99,10107
40.76,-73.99,10108
40.76,-73.99,10109
40.75,-73.98,10110
40.76,-73.98,10111
40.76,-73.98,10112
40.74,-74,10113
40.74,-74,10114
40.81,-73.96,10115
40.81,-73.95,10116
40.75,-74,10118
40.75,-73.99,10119
40.75,-74,10120
40.75,-74,10121
40.75,-74,10122
40.75,-74,10123
40.78,-73.95,10128
40.76,-73.99,10129
40.76,-73.97,10150
40.76,-73.97,10151
40.76,-73.97,10153
40.76,-73.97,10154
40.76,-73.97,10155
40.75,-73.98,10156
40.76,-73.97,10158
40.74,-73.98,10159
40.75,-74,10161
40.77,-73.95,10162
40.75,-73.97,10163
40.75,-73.98,10165
40.75,-73.98,10166
40.75,-73.97,10167
40.75,-73.98,10168
40.75,-73.98,10169
40.75,-73.98,10170
40.76,-73.97,10171
40.76,-73.97,10172
40.75,-73.98,10173
40.75,-73.98,10174
40.75,-73.98,10175
40.76,-73.98,10176
40.76,-73.98,10177
40.75,-73.98,10178
40.76,-73.99,10185
40.75,-74,10199
40.71,-74.01,10249
40.75,-73.98,10259
40.71,-74.01,10260
40.75,-73.98,10261
40.71,-74,10278
40.71,-74.01,10279
40.71,-74.01,10281
40.72,-74.02,10282
